ID;x;y;z;
1;18.66;105.59;110.24;
2;18.66;105.53;110.20;
3;18.66;105.32;110.15;
4;18.66;105.18;110.15;
5;18.66;105.08;110.15;
6;18.66;105.00;110.13;
7;18.66;104.90;110.11;
8;18.66;104.82;110.09;
9;18.66;104.74;110.08;
10;18.66;104.70;110.07;
11;18.66;104.66;110.08;
12;18.66;104.53;110.12;
13;18.66;104.47;110.14;
14;18.66;104.39;110.17;
15;18.66;104.31;110.18;
16;18.66;104.28;110.19;
17;18.66;104.20;110.15;
18;18.66;104.12;110.13;
19;18.66;104.05;110.10;
20;18.66;103.99;110.08;
21;18.66;103.94;110.08;
22;18.66;103.83;110.10;
23;18.66;103.73;110.12;
24;18.66;103.61;110.14;
25;18.66;103.44;110.14;
26;18.66;103.21;110.16;
27;18.66;103.02;110.17;
28;18.66;102.79;110.19;
29;18.66;102.65;110.21;
30;18.66;102.52;110.22;
31;18.66;102.31;110.27;
32;18.66;102.19;110.33;
33;18.66;102.13;110.35;
34;18.66;102.11;110.35;
35;19.00;101.75;110.37;
36;19.00;101.65;110.35;
37;19.00;101.52;110.32;
38;19.00;101.45;110.30;
39;19.00;101.33;110.31;
40;19.00;101.21;110.32;
41;19.00;101.11;110.30;
42;19.00;100.95;110.31;
43;19.00;100.75;110.30;
44;17.00;102.75;110.35;
45;17.11;102.75;110.36;
46;17.23;102.75;110.37;
47;17.32;102.75;110.36;
48;17.39;102.75;110.35;
49;17.00;100.75;110.35;
50;17.08;100.75;110.35;
51;17.16;100.75;110.33;
52;17.21;100.75;110.33;
53;17.31;100.75;110.34;
54;17.44;100.75;110.35;
55;17.50;100.75;110.34;
56;17.58;100.75;110.33;
57;17.65;100.75;110.33;
58;17.72;100.75;110.35;
59;17.86;100.75;110.37;
60;17.93;100.75;110.39;
61;17.98;100.75;110.42;
62;18.03;100.75;110.44;
63;18.09;100.75;110.44;
64;18.17;100.75;110.42;
65;18.23;100.75;110.40;
66;18.33;100.75;110.38;
67;18.41;100.75;110.36;
68;18.54;100.75;110.33;
69;18.68;100.75;110.31;
70;18.79;100.75;110.31;
71;18.90;100.75;110.31;
72;19.00;100.75;110.29;
73;17.37;102.02;110.30;
74;17.45;102.02;110.31;
75;17.56;102.02;110.31;
76;17.67;102.02;110.31;
77;17.77;102.02;110.30;
78;17.87;102.02;110.31;
79;17.91;102.02;110.33;
80;17.98;102.02;110.34;
81;18.11;102.02;110.31;
82;18.20;102.02;110.30;
83;18.31;102.02;110.29;
84;18.43;102.02;110.28;
85;18.54;102.02;110.28;
86;18.61;102.02;110.29;
87;18.66;102.02;110.28;
88;17.00;100.75;110.34;
89;17.00;100.83;110.32;
90;17.00;100.89;110.30;
91;17.00;100.94;110.24;
92;17.00;101.02;110.26;
93;17.00;101.13;110.32;
94;17.00;101.23;110.35;
95;17.00;101.38;110.36;
96;17.00;101.51;110.39;
97;17.00;101.66;110.39;
98;17.00;101.80;110.39;
99;17.00;101.97;110.39;
100;17.00;102.13;110.39;
101;17.00;102.21;110.38;
102;17.00;102.26;110.35;
103;17.00;102.35;110.37;
104;17.00;102.44;110.39;
105;17.00;102.53;110.39;
106;17.00;102.66;110.37;
107;17.00;102.75;110.35;
108;17.37;103.11;110.26;
109;17.37;103.17;110.21;
110;17.37;103.23;110.15;
111;17.37;103.32;110.10;
112;17.37;103.44;110.07;
113;17.37;103.52;110.04;
114;17.37;103.64;110.01;
115;17.37;103.78;109.97;
116;17.37;103.92;109.96;
117;17.37;104.08;109.96;
118;17.37;104.30;109.96;
119;17.37;104.46;109.99;
120;17.37;104.65;110.01;
121;17.37;104.85;110.03;
122;17.37;104.95;110.05;
123;17.37;105.11;110.10;
124;17.37;105.23;110.14;
125;17.37;105.35;110.16;
126;17.37;105.43;110.16;
