x,y,z
18.50,101.25,109.70
18.50,101.33,109.66
18.50,101.47,109.60
18.50,101.60,109.57
18.50,101.69,109.54
18.50,101.83,109.53
18.50,101.97,109.53
18.50,102.11,109.52
18.50,102.19,109.51
18.50,102.32,109.49
18.50,102.52,109.48
18.50,102.76,109.48
18.50,102.98,109.51
18.50,103.24,109.51
18.50,103.45,109.52
18.50,103.66,109.51
18.50,103.76,109.52
17.00,102.25,109.88
17.06,102.25,109.87
17.18,102.25,109.86
17.27,102.25,109.82
17.36,102.25,109.79
17.49,102.25,109.78
17.01,101.25,109.96
17.16,101.25,109.91
17.30,101.25,109.86
17.38,101.25,109.85
17.45,101.25,109.85
17.53,101.25,109.82
17.62,101.25,109.78
17.74,101.25,109.75
17.83,101.25,109.74
17.93,101.25,109.74
18.04,101.25,109.73
18.12,101.25,109.73
18.22,101.25,109.71
18.28,101.25,109.70
18.37,101.25,109.69
18.50,101.25,109.70
17.48,102.22,109.74
17.55,102.22,109.70
17.71,102.22,109.66
17.85,102.22,109.63
17.97,102.22,109.61
18.07,102.22,109.59
18.24,102.22,109.57
18.33,102.22,109.58
18.41,102.22,109.57
18.52,102.22,109.54
17.00,101.36,109.90
17.00,101.52,109.90
17.00,101.65,109.88
17.00,101.80,109.89
17.00,101.97,109.87
17.50,102.22,109.75
17.50,102.53,109.70
17.50,102.76,109.70
17.50,103.03,109.70
17.50,103.28,109.68
17.50,103.48,109.66
17.50,103.55,109.66
