x,y,z
18.66,105.59,110.24
18.66,105.53,110.20
18.66,105.32,110.15
18.66,105.18,110.15
18.66,105.08,110.15
18.66,105.00,110.13
18.66,104.90,110.11
18.66,104.82,110.09
18.66,104.74,110.08
18.66,104.70,110.07
18.66,104.66,110.08
18.66,104.53,110.12
18.66,104.47,110.14
18.66,104.39,110.17
18.66,104.31,110.18
18.66,104.28,110.19
18.66,104.20,110.15
18.66,104.12,110.13
18.66,104.05,110.10
18.66,103.99,110.08
18.66,103.94,110.08
18.66,103.83,110.10
18.66,103.73,110.12
18.66,103.61,110.14
18.66,103.44,110.14
18.66,103.21,110.16
18.66,103.02,110.17
18.66,102.79,110.19
18.66,102.65,110.21
18.66,102.52,110.22
18.66,102.31,110.27
18.66,102.19,110.33
18.66,102.13,110.35
18.66,102.11,110.35
19.00,101.75,110.37
19.00,101.65,110.35
19.00,101.52,110.32
19.00,101.45,110.30
19.00,101.33,110.31
19.00,101.21,110.32
19.00,101.11,110.30
19.00,100.95,110.31
19.00,100.75,110.30
17.00,102.75,110.35
17.11,102.75,110.36
17.23,102.75,110.37
17.32,102.75,110.36
17.39,102.75,110.35
17.00,100.75,110.35
17.08,100.75,110.35
17.16,100.75,110.33
17.21,100.75,110.33
17.31,100.75,110.34
17.44,100.75,110.35
17.50,100.75,110.34
17.58,100.75,110.33
17.65,100.75,110.33
17.72,100.75,110.35
17.86,100.75,110.37
17.93,100.75,110.39
17.98,100.75,110.42
18.03,100.75,110.44
18.09,100.75,110.44
18.17,100.75,110.42
18.23,100.75,110.40
18.33,100.75,110.38
18.41,100.75,110.36
18.54,100.75,110.33
18.68,100.75,110.31
18.79,100.75,110.31
18.90,100.75,110.31
19.00,100.75,110.29
17.37,102.02,110.30
17.45,102.02,110.31
17.56,102.02,110.31
17.67,102.02,110.31
17.77,102.02,110.30
17.87,102.02,110.31
17.91,102.02,110.33
17.98,102.02,110.34
18.11,102.02,110.31
18.20,102.02,110.30
18.31,102.02,110.29
18.43,102.02,110.28
18.54,102.02,110.28
18.61,102.02,110.29
18.66,102.02,110.28
17.00,100.75,110.34
17.00,100.83,110.32
17.00,100.89,110.30
17.00,100.94,110.24
17.00,101.02,110.26
17.00,101.13,110.32
17.00,101.23,110.35
17.00,101.38,110.36
17.00,101.51,110.39
17.00,101.66,110.39
17.00,101.80,110.39
17.00,101.97,110.39
17.00,102.13,110.39
17.00,102.21,110.38
17.00,102.26,110.35
17.00,102.35,110.37
17.00,102.44,110.39
17.00,102.53,110.39
17.00,102.66,110.37
17.00,102.75,110.35
17.37,103.11,110.26
17.37,103.17,110.21
17.37,103.23,110.15
17.37,103.32,110.10
17.37,103.44,110.07
17.37,103.52,110.04
17.37,103.64,110.01
17.37,103.78,109.97
17.37,103.92,109.96
17.37,104.08,109.96
17.37,104.30,109.96
17.37,104.46,109.99
17.37,104.65,110.01
17.37,104.85,110.03
17.37,104.95,110.05
17.37,105.11,110.10
17.37,105.23,110.14
17.37,105.35,110.16
17.37,105.43,110.16
