x,y,z
19.00,100.75,110.69
19.00,100.83,110.69
19.00,100.91,110.66
19.00,100.99,110.65
19.00,101.11,110.64
19.00,101.20,110.62
19.00,101.29,110.62
19.00,101.36,110.62
19.00,101.43,110.61
19.00,101.47,110.60
19.00,101.53,110.61
19.00,101.59,110.62
19.00,101.65,110.63
19.00,101.70,110.64
19.00,101.75,110.64
18.75,102.08,110.59
18.75,102.21,110.58
18.75,102.35,110.59
18.75,102.44,110.57
18.75,102.56,110.52
18.75,102.73,110.51
18.75,102.89,110.49
18.75,103.09,110.48
18.75,103.33,110.49
18.75,103.51,110.53
18.75,103.66,110.51
18.75,103.94,110.37
18.75,104.10,110.40
18.75,104.25,110.37
18.75,104.41,110.35
18.75,104.52,110.38
18.75,104.58,110.39
18.75,104.69,110.40
18.75,104.78,110.40
18.75,104.91,110.38
18.75,105.02,110.34
18.75,105.11,110.33
18.75,105.27,110.34
18.75,105.36,110.34
18.75,105.47,110.34
18.75,105.58,110.34
16.50,102.75,110.87
16.61,102.75,110.86
16.74,102.75,110.86
16.88,102.75,110.87
16.99,102.75,110.90
17.08,102.75,110.92
17.12,102.75,110.94
16.51,100.75,110.99
16.66,100.75,110.99
16.83,100.75,111.00
16.91,100.75,111.00
16.95,100.75,110.95
17.00,100.75,110.91
17.09,100.75,110.92
17.17,100.75,110.88
17.32,100.75,110.80
17.44,100.75,110.75
17.55,100.75,110.73
17.64,100.75,110.71
17.72,100.75,110.69
17.78,100.75,110.70
17.85,100.75,110.71
17.90,100.75,110.71
17.99,100.75,110.70
18.18,100.75,110.69
18.40,100.75,110.68
18.53,100.75,110.66
18.72,100.75,110.67
18.82,100.75,110.66
18.89,100.75,110.67
18.96,100.75,110.66
19.00,100.75,110.68
17.00,100.75,110.91
17.00,100.80,110.93
17.00,100.86,110.99
17.00,100.90,111.05
17.00,100.91,111.06
17.00,101.01,111.06
17.00,101.08,111.02
17.00,101.16,111.01
17.00,101.26,111.03
17.00,101.37,111.06
17.00,101.47,111.06
17.00,101.59,111.02
17.00,101.77,110.90
17.00,101.85,110.84
17.00,102.01,110.82
17.00,102.31,110.82
17.00,102.46,110.85
17.00,102.63,110.87
17.00,102.76,110.87
17.25,103.12,110.85
17.25,103.31,110.83
17.25,103.41,110.81
17.25,103.48,110.83
17.25,103.62,110.84
17.25,103.77,110.82
17.25,103.92,110.84
17.25,104.05,110.88
17.25,104.15,110.83
17.25,104.30,110.80
17.25,104.54,110.80
17.25,104.65,110.81
17.25,104.68,110.71
17.25,104.76,110.68
17.25,104.95,110.70
17.25,105.04,110.71
17.25,105.08,110.74
16.50,100.75,111.00
16.50,100.87,111.04
16.50,100.97,111.09
16.50,101.05,111.14
16.50,101.11,111.21
16.50,101.14,111.27
16.50,101.19,111.25
16.50,101.31,111.17
16.50,101.41,111.12
16.50,101.55,111.04
16.50,101.68,110.96
16.50,101.74,110.92
16.50,101.83,110.86
16.50,101.96,110.81
16.50,102.49,110.80
16.50,102.55,110.85
16.50,102.67,110.85
16.50,102.75,110.85
