ID;SID;x;y;z
1;3;16.00;101.75;112.15
2;3;16.00;101.75;112.1
3;3;16.00;102.25;112.15
4;3;16.00;102.25;112.1
5;3;16.50;101.75;112.15
6;3;16.50;101.75;112.1
7;3;16.50;102.25;112.15
8;3;16.50;102.25;112.1
9;4;16.00;102.25;112.15
10;4;16.00;102.25;112.1
11;4;16.00;102.75;112.15
12;4;16.00;102.75;112.1
13;4;16.50;102.25;112.15
14;4;16.50;102.25;112.1
15;4;16.50;102.75;112.15
16;4;16.50;102.75;112.1
17;1;16.00;100.75;112.15
18;1;16.00;100.75;112.1
19;1;16.00;101.25;112.15
20;1;16.00;101.25;112.1
21;1;16.50;100.75;112.15
22;1;16.50;100.75;112.1
23;1;16.50;101.25;112.15
24;1;16.50;101.25;112.1
25;2;16.00;101.25;112.15
26;2;16.00;101.25;112.1
27;2;16.00;101.75;112.15
28;2;16.00;101.75;112.1
29;2;16.50;101.25;112.15
30;2;16.50;101.25;112.1
31;2;16.50;101.75;112.15
32;2;16.50;101.75;112.1
33;8;16.00;101.75;112.1
34;8;16.00;101.75;112.05
35;8;16.00;102.25;112.1
36;8;16.00;102.25;112.05
37;8;16.50;101.75;112.1
38;8;16.50;101.75;112.05
39;8;16.50;102.25;112.1
40;8;16.50;102.25;112.05
41;9;16.00;102.25;112.1
42;9;16.00;102.25;112.05
43;9;16.00;102.75;112.1
44;9;16.00;102.75;112.05
45;9;16.50;102.25;112.1
46;9;16.50;102.25;112.05
47;9;16.50;102.75;112.1
48;9;16.50;102.75;112.05
49;10;16.50;101.75;112.1
50;10;16.50;101.75;112.05
51;10;16.50;102.25;112.1
52;10;16.50;102.25;112.05
53;10;17.00;101.75;112.1
54;10;17.00;101.75;112.05
55;10;17.00;102.25;112.1
56;10;17.00;102.25;112.05
57;5;16.00;100.75;112.1
58;5;16.00;100.75;112.05
59;5;16.00;101.25;112.1
60;5;16.00;101.25;112.05
61;5;16.50;100.75;112.1
62;5;16.50;100.75;112.05
63;5;16.50;101.25;112.1
