ID;x;y;z
;18.50;101.25;109.26
;18.50;101.33;109.27
;18.50;101.41;109.28
;18.50;101.46;109.28
;18.50;101.53;109.29
;18.50;101.62;109.28
;18.50;101.67;109.29
;18.50;101.75;109.25
;18.50;101.86;109.25
;18.50;101.96;109.25
;18.50;102.11;109.25
;18.50;102.23;109.24
;18.50;102.30;109.24
;18.50;102.41;109.22
;18.50;102.68;109.22
;18.50;103.09;109.22
;18.50;103.40;109.23
;18.50;103.72;109.23
;18.50;103.78;109.23
;17.00;102.25;109.38
;17.11;102.25;109.38
;17.19;102.25;109.36
;17.24;102.25;109.36
;17.29;102.25;109.38
;17.32;102.25;109.34
;17.35;102.25;109.31
;17.43;102.25;109.31
;17.50;102.25;109.30
;17.55;102.25;109.30
;17.23;101.25;109.31
;17.28;101.25;109.30
;17.33;101.25;109.30
;17.38;101.25;109.27
;17.45;101.25;109.28
;17.52;101.25;109.25
;17.61;101.25;109.24
;17.68;101.25;109.25
;17.74;101.25;109.24
;17.77;101.25;109.28
;17.80;101.25;109.31
;17.87;101.25;109.31
;17.93;101.25;109.31
;18.03;101.25;109.32
;18.08;101.25;109.31
;18.18;101.25;109.30
;18.25;101.25;109.29
;18.32;101.25;109.29
;18.40;101.25;109.29
;18.45;101.25;109.28
;18.51;101.25;109.27
;17.48;102.35;109.22
;17.58;102.35;109.21
;17.75;102.35;109.21
;17.92;102.35;109.19
;18.09;102.35;109.17
;18.33;102.35;109.16
;18.50;101.75;109.16
;17.00;101.41;109.48
;17.00;101.51;109.43
;17.00;101.62;109.41
;17.00;101.62;109.31
;17.00;101.74;109.32
;17.00;101.73;109.41
;17.00;101.72;109.45
;17.00;101.82;109.44
;17.00;101.90;109.43
;17.00;101.95;109.34
;17.00;102.01;109.40
;17.00;102.11;109.40
;17.00;102.18;109.43
;17.50;102.26;109.22
;17.50;102.44;109.27
;17.50;102.59;109.29
;17.50;102.72;109.23
;17.50;102.88;109.23
;17.50;103.03;109.26
;17.50;103.03;109.11
;17.50;103.21;109.11
;17.50;103.21;109.21
;17.50;103.27;109.21
;17.50;103.30;109.12
;17.50;103.47;109.11
