x,y,z
16.00,100.75,112.18
16.00,100.85,112.20
16.00,101.01,112.20
16.00,101.15,112.21
16.00,101.32,112.21
16.00,101.42,112.22
16.00,101.51,112.23
16.00,101.56,112.23
16.00,101.63,112.21
16.00,101.68,112.20
16.00,101.72,112.18
16.00,101.76,112.17
16.00,101.83,112.16
16.00,101.91,112.14
16.00,102.02,112.13
16.00,102.17,112.13
16.00,102.27,112.13
16.00,102.41,112.13
16.00,102.45,112.12
16.00,102.54,112.12
16.00,102.65,112.12
16.00,102.75,112.10
17.00,100.75,111.94
17.00,100.85,111.94
17.00,100.95,111.93
17.00,101.04,111.94
17.00,101.14,111.94
16.00,101.25,111.94
17.00,101.35,111.93
17.00,101.46,111.92
17.00,101.56,111.92
17.00,101.67,111.89
17.00,101.75,111.88
17.00,101.75,112.00
17.00,101.91,112.01
17.00,102.19,112.02
17.00,102.46,112.03
17.00,102.68,112.04
17.00,102.81,112.04
17.00,102.95,112.02
17.00,103.12,112.01
17.00,103.30,112.00
17.00,103.57,111.99
17.00,103.93,112.00
17.00,104.14,112.00
17.00,104.32,112.00
17.00,104.43,112.00
17.00,104.59,111.99
17.00,104.70,112.00
17.00,104.84,112.00
17.00,104.95,112.00
17.04,101.75,111.99
17.13,101.75,111.97
17.21,101.75,111.95
17.28,101.75,111.93
17.34,101.75,111.92
17.42,101.75,111.90
17.48,101.75,111.88
17.52,101.75,111.87
17.59,101.75,111.87
17.67,101.75,111.84
17.74,101.75,111.83
17.81,101.75,111.82
17.91,101.75,111.80
18.02,101.75,111.76
18.13,101.75,111.74
18.22,101.75,111.72
18.33,101.75,111.69
18.45,101.75,111.66
18.55,101.75,111.64
18.64,101.75,111.62
18.75,101.75,111.60
18.82,101.75,111.57
18.88,101.75,111.56
18.94,101.75,111.55
18.99,101.75,111.54
16.00,100.75,112.18
16.04,100.75,112.16
16.12,100.75,112.14
16.20,100.75,112.11
16.29,100.75,112.09
16.38,100.75,112.07
16.44,100.75,112.06
16.52,100.75,112.04
16.59,100.75,112.03
16.69,100.75,112.01
16.78,100.75,111.98
16.85,100.75,111.97
16.93,100.75,111.95
17.04,100.75,111.92
17.14,100.75,111.90
17.22,100.75,111.88
17.29,100.75,111.86
17.51,100.75,111.79
17.67,100.75,111.74
17.81,100.75,111.71
17.89,100.75,111.69
17.96,100.75,111.66
18.03,100.75,111.66
18.11,100.75,111.64
18.25,100.75,111.61
18.36,100.75,111.58
18.53,100.75,111.54
18.62,100.75,111.53
18.70,100.75,111.51
18.80,100.75,111.48
18.90,100.75,111.47
19.00,100.75,111.45
16.00,102.75,112.10
16.10,102.75,112.09
16.20,102.75,112.09
16.28,102.75,112.09
16.37,102.75,112.07
16.48,102.75,112.03
16.56,102.75,112.00
16.65,102.75,111.96
16.73,102.75,111.94
16.81,102.75,111.92
16.94,102.75,111.89
17.00,102.75,111.86
19.00,100.75,111.45
19.00,100.83,111.45
19.00,100.91,111.46
19.00,100.99,111.46
19.00,101.06,111.46
19.00,101.15,111.46
19.00,101.25,111.47
19.00,101.34,111.47
19.00,101.45,111.47
19.00,101.61,111.48
19.00,101.75,111.48
19.00,101.81,111.50
19.00,101.92,111.51
19.00,102.09,111.51
19.00,102.25,111.52
19.00,102.37,111.53
19.00,102.55,111.53
19.00,102.65,111.54
19.00,102.79,111.55
19.00,102.99,111.55
19.00,103.13,111.57
19.00,103.29,111.58
19.00,103.39,111.59
19.00,103.58,111.59
19.00,103.75,111.59
19.00,103.88,111.59
19.00,104.03,111.60
19.00,104.17,111.61
19.00,104.31,111.62
19.00,104.48,111.62
19.00,104.66,111.62
19.00,104.82,111.62
19.00,104.96,111.62
19.00,105.12,111.62
19.00,105.25,111.62
19.00,105.36,111.63
19.00,105.48,111.64
17.25,101.39,111.87
17.25,100.99,111.88
17.72,101.36,111.73
17.73,100.98,111.75
18.25,101.40,111.61
18.24,100.97,111.62
18.74,101.44,111.52
18.70,100.97,111.53
16.18,100.96,112.16
16.77,101.09,112.01
16.20,101.59,112.14
16.77,101.58,111.97
16.22,102.10,112.13
16.76,102.01,111.99
16.29,102.51,112.11
16.82,102.50,111.93
