ID;x;y;z
1;18.50;101.25;109.70
2;18.50;101.33;109.66
3;18.50;101.47;109.60
4;18.50;101.60;109.57
5;18.50;101.69;109.54
6;18.50;101.83;109.53
7;18.50;101.97;109.53
8;18.50;102.11;109.52
9;18.50;102.19;109.51
10;18.50;102.32;109.49
11;18.50;102.52;109.48
12;18.50;102.76;109.48
13;18.50;102.98;109.51
14;18.50;103.24;109.51
15;18.50;103.45;109.52
16;18.50;103.66;109.51
17;18.50;103.76;109.52
18;17.00;102.25;109.88
19;17.06;102.25;109.87
20;17.18;102.25;109.86
21;17.27;102.25;109.82
22;17.36;102.25;109.79
23;17.49;102.25;109.78
24;17.01;101.25;109.96
25;17.16;101.25;109.91
26;17.30;101.25;109.86
27;17.38;101.25;109.85
28;17.45;101.25;109.85
29;17.53;101.25;109.82
30;17.62;101.25;109.78
31;17.74;101.25;109.75
32;17.83;101.25;109.74
33;17.93;101.25;109.74
34;18.04;101.25;109.73
35;18.12;101.25;109.73
36;18.22;101.25;109.71
37;18.28;101.25;109.70
38;18.37;101.25;109.69
39;18.50;101.25;109.70
40;17.48;102.22;109.74
41;17.55;102.22;109.70
42;17.71;102.22;109.66
43;17.85;102.22;109.63
44;17.97;102.22;109.61
45;18.07;102.22;109.59
46;18.24;102.22;109.57
47;18.33;102.22;109.58
48;18.41;102.22;109.57
49;18.52;102.22;109.54
50;17.00;101.36;109.90
51;17.00;101.52;109.90
52;17.00;101.65;109.88
53;17.00;101.80;109.89
54;17.00;101.97;109.87
55;17.50;102.22;109.75
56;17.50;102.53;109.70
57;17.50;102.76;109.70
58;17.50;103.03;109.70
59;17.50;103.28;109.68
60;17.50;103.48;109.66
61;17.50;103.55;109.66
