ID;x;y;z
1;16.00;100.75;112.18
2;16.00;100.85;112.20
3;16.00;101.01;112.20
4;16.00;101.15;112.21
5;16.00;101.32;112.21
6;16.00;101.42;112.22
7;16.00;101.51;112.23
8;16.00;101.56;112.23
9;16.00;101.63;112.21
10;16.00;101.68;112.20
11;16.00;101.72;112.18
12;16.00;101.76;112.17
13;16.00;101.83;112.16
14;16.00;101.91;112.14
15;16.00;102.02;112.13
16;16.00;102.17;112.13
17;16.00;102.27;112.13
18;16.00;102.41;112.13
19;16.00;102.45;112.12
20;16.00;102.54;112.12
21;16.00;102.65;112.12
22;16.00;102.75;112.10
23;17.00;100.75;111.94
24;17.00;100.85;111.94
25;17.00;100.95;111.93
26;17.00;101.04;111.94
27;17.00;101.14;111.94
28;16.00;101.25;111.94
29;17.00;101.35;111.93
30;17.00;101.46;111.92
31;17.00;101.56;111.92
32;17.00;101.67;111.89
33;17.00;101.75;111.88
34;17.00;101.75;112.00
35;17.00;101.91;112.01
36;17.00;102.19;112.02
37;17.00;102.46;112.03
38;17.00;102.68;112.04
39;17.00;102.81;112.04
40;17.00;102.95;112.02
41;17.00;103.12;112.01
42;17.00;103.30;112.00
43;17.00;103.57;111.99
44;17.00;103.93;112.00
45;17.00;104.14;112.00
46;17.00;104.32;112.00
47;17.00;104.43;112.00
48;17.00;104.59;111.99
49;17.00;104.70;112.00
50;17.00;104.84;112.00
51;17.00;104.95;112.00
52;17.04;101.75;111.99
53;17.13;101.75;111.97
54;17.21;101.75;111.95
55;17.28;101.75;111.93
56;17.34;101.75;111.92
57;17.42;101.75;111.90
58;17.48;101.75;111.88
59;17.52;101.75;111.87
60;17.59;101.75;111.87
61;17.67;101.75;111.84
62;17.74;101.75;111.83
63;17.81;101.75;111.82
64;17.91;101.75;111.80
65;18.02;101.75;111.76
66;18.13;101.75;111.74
67;18.22;101.75;111.72
68;18.33;101.75;111.69
69;18.45;101.75;111.66
70;18.55;101.75;111.64
71;18.64;101.75;111.62
72;18.75;101.75;111.60
73;18.82;101.75;111.57
74;18.88;101.75;111.56
75;18.94;101.75;111.55
76;18.99;101.75;111.54
77;16.00;100.75;112.18
78;16.04;100.75;112.16
79;16.12;100.75;112.14
80;16.20;100.75;112.11
81;16.29;100.75;112.09
82;16.38;100.75;112.07
83;16.44;100.75;112.06
84;16.52;100.75;112.04
85;16.59;100.75;112.03
86;16.69;100.75;112.01
87;16.78;100.75;111.98
88;16.85;100.75;111.97
89;16.93;100.75;111.95
90;17.04;100.75;111.92
91;17.14;100.75;111.90
92;17.22;100.75;111.88
93;17.29;100.75;111.86
94;17.51;100.75;111.79
95;17.67;100.75;111.74
96;17.81;100.75;111.71
97;17.89;100.75;111.69
98;17.96;100.75;111.66
99;18.03;100.75;111.66
100;18.11;100.75;111.64
101;18.25;100.75;111.61
102;18.36;100.75;111.58
103;18.53;100.75;111.54
104;18.62;100.75;111.53
105;18.70;100.75;111.51
106;18.80;100.75;111.48
107;18.90;100.75;111.47
108;19.00;100.75;111.45
109;16.00;102.75;112.10
110;16.10;102.75;112.09
111;16.20;102.75;112.09
112;16.28;102.75;112.09
113;16.37;102.75;112.07
114;16.48;102.75;112.03
115;16.56;102.75;112.00
116;16.65;102.75;111.96
117;16.73;102.75;111.94
118;16.81;102.75;111.92
119;16.94;102.75;111.89
120;17.00;102.75;111.86
121;19.00;100.75;111.45
122;19.00;100.83;111.45
123;19.00;100.91;111.46
124;19.00;100.99;111.46
125;19.00;101.06;111.46
126;19.00;101.15;111.46
127;19.00;101.25;111.47
128;19.00;101.34;111.47
129;19.00;101.45;111.47
130;19.00;101.61;111.48
131;19.00;101.75;111.48
132;19.00;101.81;111.50
133;19.00;101.92;111.51
134;19.00;102.09;111.51
135;19.00;102.25;111.52
136;19.00;102.37;111.53
137;19.00;102.55;111.53
138;19.00;102.65;111.54
139;19.00;102.79;111.55
140;19.00;102.99;111.55
141;19.00;103.13;111.57
142;19.00;103.29;111.58
143;19.00;103.39;111.59
144;19.00;103.58;111.59
145;19.00;103.75;111.59
146;19.00;103.88;111.59
147;19.00;104.03;111.60
148;19.00;104.17;111.61
149;19.00;104.31;111.62
150;19.00;104.48;111.62
151;19.00;104.66;111.62
152;19.00;104.82;111.62
153;19.00;104.96;111.62
154;19.00;105.12;111.62
155;19.00;105.25;111.62
156;19.00;105.36;111.63
157;19.00;105.48;111.64
158;17.249;101.392;111.867
159;17.251;100.989;111.880
160;17.716;101.358;111.733
161;17.727;100.979;111.746
162;18.248;101.399;111.611
163;18.236;100.968;111.624
164;18.740;101.436;111.524
165;18.704;100.967;111.529
166;16.183;100.964;112.157
167;16.772;101.094;112.005
168;16.202;101.585;112.142
169;16.769;101.584;111.967
170;16.224;102.096;112.130
171;16.757;102.005;111.993
172;16.291;102.513;112.108
173;16.823;102.497;111.926
