"SID","above_surface","escargotiere","mixed_escargotiere","mixed_couche_rouge","couche_rouge","below_bottom"
1,58.3,41.7,NA,NA,NA,NA
2,55.1,44.9,NA,NA,NA,NA
3,63,37,NA,NA,NA,NA
4,80.6,19.4,NA,NA,NA,NA
5,18.5,81.5,NA,NA,NA,NA
6,20.4,79.6,NA,NA,NA,NA
7,93.5,6.5,NA,NA,NA,NA
8,24.1,75.9,NA,NA,NA,NA
9,30.6,69.4,NA,NA,NA,NA
10,99.5,0.5,NA,NA,NA,NA
11,0.9,99.1,NA,NA,NA,NA
12,0.9,99.1,NA,NA,NA,NA
13,71.8,28.2,NA,NA,NA,NA
14,63,37,NA,NA,NA,NA
15,2.3,97.7,NA,NA,NA,NA
16,5.6,94.4,NA,NA,NA,NA
17,80.1,19.9,NA,NA,NA,NA
18,71.3,28.7,NA,NA,NA,NA
19,NA,100,NA,NA,NA,NA
20,NA,100,NA,NA,NA,NA
21,43.1,56.9,NA,NA,NA,NA
22,30.1,69.9,NA,NA,NA,NA
23,NA,100,NA,NA,NA,NA
24,NA,100,NA,NA,NA,NA
25,35.6,64.4,NA,NA,NA,NA
26,17.6,82.4,NA,NA,NA,NA
27,NA,100,NA,NA,NA,NA
28,NA,100,NA,NA,NA,NA
29,13.4,86.6,NA,NA,NA,NA
30,4.6,95.4,NA,NA,NA,NA
31,NA,100,NA,NA,NA,NA
32,NA,100,NA,NA,NA,NA
33,6,94,NA,NA,NA,NA
34,3.2,96.8,NA,NA,NA,NA
35,NA,100,NA,NA,NA,NA
36,NA,100,NA,NA,NA,NA
37,NA,100,NA,NA,NA,NA
38,NA,100,NA,NA,NA,NA
39,NA,100,NA,NA,NA,NA
40,NA,100,NA,NA,NA,NA
41,NA,100,NA,NA,NA,NA
42,NA,100,NA,NA,NA,NA
43,52.8,47.2,NA,NA,NA,NA
44,39.8,60.2,NA,NA,NA,NA
45,1.4,98.6,NA,NA,NA,NA
46,NA,100,NA,NA,NA,NA
47,NA,100,NA,NA,NA,NA
48,NA,100,NA,NA,NA,NA
49,NA,100,NA,NA,NA,NA
50,NA,100,NA,NA,NA,NA
51,NA,100,NA,NA,NA,NA
52,NA,100,NA,NA,NA,NA
53,NA,100,NA,NA,NA,NA
54,25,75,NA,NA,NA,NA
55,11.6,88.4,NA,NA,NA,NA
56,NA,100,NA,NA,NA,NA
57,NA,100,NA,NA,NA,NA
58,NA,100,NA,NA,NA,NA
59,NA,100,NA,NA,NA,NA
60,NA,100,NA,NA,NA,NA
61,NA,100,NA,NA,NA,NA
62,NA,100,NA,NA,NA,NA
63,NA,100,NA,NA,NA,NA
64,NA,100,NA,NA,NA,NA
65,2.8,97.2,NA,NA,NA,NA
66,0.5,99.5,NA,NA,NA,NA
67,50.9,49.1,NA,NA,NA,NA
68,77.8,22.2,NA,NA,NA,NA
69,NA,100,NA,NA,NA,NA
70,NA,100,NA,NA,NA,NA
71,NA,100,NA,NA,NA,NA
72,NA,100,NA,NA,NA,NA
73,NA,100,NA,NA,NA,NA
74,NA,100,NA,NA,NA,NA
75,NA,100,NA,NA,NA,NA
76,NA,100,NA,NA,NA,NA
77,NA,100,NA,NA,NA,NA
78,NA,100,NA,NA,NA,NA
79,NA,100,NA,NA,NA,NA
80,21.3,78.7,NA,NA,NA,NA
81,44.9,55.1,NA,NA,NA,NA
82,NA,100,NA,NA,NA,NA
83,NA,100,NA,NA,NA,NA
84,NA,100,NA,NA,NA,NA
85,NA,100,NA,NA,NA,NA
86,NA,100,NA,NA,NA,NA
87,NA,100,NA,NA,NA,NA
88,NA,100,NA,NA,NA,NA
89,NA,100,NA,NA,NA,NA
90,NA,100,NA,NA,NA,NA
91,NA,100,NA,NA,NA,NA
92,NA,100,NA,NA,NA,NA
93,2.8,97.2,NA,NA,NA,NA
94,13.9,86.1,NA,NA,NA,NA
95,93.1,6.9,NA,NA,NA,NA
96,64.8,35.2,NA,NA,NA,NA
97,NA,100,NA,NA,NA,NA
98,NA,100,NA,NA,NA,NA
99,NA,100,NA,NA,NA,NA
100,NA,100,NA,NA,NA,NA
101,NA,100,NA,NA,NA,NA
102,NA,100,NA,NA,NA,NA
103,NA,100,NA,NA,NA,NA
104,NA,100,NA,NA,NA,NA
105,NA,100,NA,NA,NA,NA
106,NA,100,NA,NA,NA,NA
107,NA,100,NA,NA,NA,NA
108,NA,100,NA,NA,NA,NA
109,NA,100,NA,NA,NA,NA
110,60.6,39.4,NA,NA,NA,NA
111,36.6,63.4,NA,NA,NA,NA
112,NA,100,NA,NA,NA,NA
